1,47,105,100,3
2,37,94,100,3
3,57,68,100,3
4,28,112,100,3
5,28,117,100,3
1,21,148,90,3
2,17,128,90,3
3,60,88,90,3
4,55,68,90,3
5,47,87,90,3
1,31,94,80,3
2,41,83,80,3
3,34,77,80,3
4,43,60,80,3
5,41,89,80,3
1,38,64,70,3
2,28,100,70,3
3,21,98,70,3
4,26,75,70,3
5,18,125,70,3
1,11,85,60,3
2,36,77,60,3
3,31,68,60,3
4,22,90,60,3
5,18,93,60,3
1,16,59,50,3
2,26,90,50,3
3,20,106,50,3
4,29,45,50,3
5,11,74,50,3
1,6,60,40,3
2,15,56,40,3
3,11,72,40,3
4,15,59,40,3
5,25,55,40,3
1,22,44,30,3
2,18,35,30,3
3,20,49,30,3
4,18,56,30,3
5,18,33,30,3
1,3,51,20,3
2,11,50,20,3
3,10,61,20,3
4,15,41,20,3
5,7,42,20,3
1,7,167,10,3
2,0,17,10,3
3,8,40,10,3
4,7,51,10,3
5,7,49,10,3
1,0,157,100,4
2,25,172,100,4
3,0,147,100,4
4,0,159,100,4
5,0,157,100,4
1,0,154,90,4
2,0,150,90,4
3,0,152,90,4
4,0,146,90,4
5,0,161,90,4
1,0,132,80,4
2,0,151,80,4
3,0,125,80,4
4,27,148,80,4
5,0,143,80,4
1,0,119,70,4
2,0,114,70,4
3,0,116,70,4
4,24,257,70,4
5,8,165,70,4
1,0,97,60,4
2,0,125,60,4
3,0,101,60,4
4,0,100,60,4
5,0,92,60,4
1,0,82,50,4
2,8,134,50,4
3,16,106,50,4
4,0,82,50,4
5,0,87,50,4
1,0,72,40,4
2,0,75,40,4
3,0,73,40,4
4,0,75,40,4
5,0,74,40,4
1,0,65,30,4
2,0,64,30,4
3,0,63,30,4
4,0,50,30,4
5,0,55,30,4
1,0,40,20,4
2,0,40,20,4
3,6,282,20,4
4,0,42,20,4
5,0,36,20,4
1,0,19,10,4
2,0,17,10,4
3,0,21,10,4
4,0,23,10,4
5,0,22,10,4
