1,50,53,100,3
2,73,29,100,3
3,63,41,100,3
4,94,13,100,3
5,67,35,100,3
1,66,26,90,3
2,15,79,90,3
3,58,34,90,3
4,59,33,90,3
5,58,34,90,3
1,50,32,80,3
2,52,30,80,3
3,20,65,80,3
4,58,24,80,3
5,61,21,80,3
1,49,23,70,3
2,28,48,70,3
3,47,25,70,3
4,30,44,70,3
5,33,39,70,3
1,33,29,60,3
2,35,27,60,3
3,40,22,60,3
4,33,29,60,3
5,49,13,60,3
1,23,30,50,3
2,29,23,50,3
3,37,15,50,3
4,37,17,50,3
5,41,11,50,3
1,28,14,40,3
2,22,20,40,3
3,0,42,40,3
4,26,16,40,3
5,37,10,40,3
1,21,11,30,3
2,19,13,30,3
3,20,12,30,3
4,19,17,30,3
5,1,32,30,3
1,1,22,20,3
2,13,9,20,3
3,9,13,20,3
4,14,8,20,3
5,8,14,20,3
1,4,12,10,3
2,0,10,10,3
3,9,25,10,3
4,9,20,10,3
5,10,25,10,3
1,0,100,100,4
2,27,75,100,4
3,0,100,100,4
4,0,100,100,4
5,0,100,100,4
1,0,90,90,4
2,0,90,90,4
3,0,90,90,4
4,0,90,90,4
5,0,90,90,4
1,0,80,80,4
2,0,80,80,4
3,0,80,80,4
4,1,80,80,4
5,13,69,80,4
1,0,70,70,4
2,0,70,70,4
3,1,70,70,4
4,22,52,70,4
5,15,57,70,4
1,0,60,60,4
2,0,60,60,4
3,0,60,60,4
4,0,60,60,4
5,0,60,60,4
1,0,50,50,4
2,14,38,50,4
3,20,32,50,4
4,0,50,50,4
5,0,50,50,4
1,0,40,40,4
2,0,40,40,4
3,0,40,40,4
4,0,40,40,4
5,0,40,40,4
1,0,30,30,4
2,0,30,30,4
3,0,30,30,4
4,0,30,30,4
5,0,30,30,4
1,0,20,20,4
2,0,20,20,4
3,5,17,20,4
4,0,20,20,4
5,0,20,20,4
1,0,10,10,4
2,0,10,10,4
3,0,10,10,4
4,0,10,10,4
5,0,10,10,4
